winner,game_result,exec_time,num_turns,p1_rem_walls,p2_rem_walls,p1 algorithm name,p2 algorithm name,Distance of p1 to the goal,Distance of p2 to the goal
P2,1,25.17273259,32,10,4,expectimax,minimax-alpha-beta-pruning,8,0
P2,1,11.41708946,20,8,8,expectimax,minimax-alpha-beta-pruning,2,0
P1,-1,9.123349667,17,10,10,expectimax,minimax-alpha-beta-pruning,0,4
P2,1,8.523975611,18,8,8,expectimax,minimax-alpha-beta-pruning,2,0
P1,-1,9.971123457,17,10,9,expectimax,minimax-alpha-beta-pruning,0,4
P2,1,9.028291702,18,8,8,expectimax,minimax-alpha-beta-pruning,2,0
P2,1,23.09402847,34,10,3,expectimax,minimax-alpha-beta-pruning,4,0
P2,1,9.684452295,20,8,8,expectimax,minimax-alpha-beta-pruning,2,0
P2,1,8.909610033,18,8,8,expectimax,minimax-alpha-beta-pruning,2,0
P2,1,8.52590704,18,8,8,expectimax,minimax-alpha-beta-pruning,2,0
P2,1,8.831868172,18,8,8,expectimax,minimax-alpha-beta-pruning,2,0
P1,-1,9.610658646,21,8,7,expectimax,minimax-alpha-beta-pruning,0,2
P2,1,19.25168991,28,10,5,expectimax,minimax-alpha-beta-pruning,4,0
P2,1,8.801968813,18,8,8,expectimax,minimax-alpha-beta-pruning,2,0
P2,1,45.49336481,34,8,3,expectimax,minimax-alpha-beta-pruning,4,0
P2,1,6.551528454,20,7,7,expectimax,minimax-alpha-beta-pruning,2,0
P2,1,5.907496452,18,8,8,expectimax,minimax-alpha-beta-pruning,2,0
P1,-1,7.017726898,19,8,7,expectimax,minimax-alpha-beta-pruning,0,2
P1,-1,8.000361681,19,8,9,expectimax,minimax-alpha-beta-pruning,0,4
P2,1,18.91998506,30,10,4,expectimax,minimax-alpha-beta-pruning,4,0
P2,1,7.725463629,14,10,10,expectimax,minimax-alpha-beta-pruning,2,0
P2,1,8.690646887,18,8,8,expectimax,minimax-alpha-beta-pruning,2,0
P1,-1,8.370449305,19,8,7,expectimax,minimax-alpha-beta-pruning,0,2
P2,1,7.486933708,18,8,8,expectimax,minimax-alpha-beta-pruning,2,0
P2,1,9.305962563,20,8,8,expectimax,minimax-alpha-beta-pruning,2,0
P2,1,7.772557735,18,8,8,expectimax,minimax-alpha-beta-pruning,2,0
P2,1,19.19647408,32,10,3,expectimax,minimax-alpha-beta-pruning,4,0
P2,1,7.634448051,18,8,8,expectimax,minimax-alpha-beta-pruning,2,0
P1,-1,8.383103609,21,8,7,expectimax,minimax-alpha-beta-pruning,0,2
P2,1,7.881475449,18,8,8,expectimax,minimax-alpha-beta-pruning,2,0
P2,1,7.987475395,18,8,8,expectimax,minimax-alpha-beta-pruning,2,0
P2,1,7.807305813,18,8,8,expectimax,minimax-alpha-beta-pruning,2,0
P2,1,7.985780478,16,9,9,expectimax,minimax-alpha-beta-pruning,2,0
P1,-1,8.511917591,19,8,8,expectimax,minimax-alpha-beta-pruning,0,4
P2,1,26.26096535,34,10,3,expectimax,minimax-alpha-beta-pruning,6,0
P2,1,8.812523842,18,8,8,expectimax,minimax-alpha-beta-pruning,2,0
P2,1,8.098884821,14,10,10,expectimax,minimax-alpha-beta-pruning,2,0
P2,1,22.4859271,32,10,3,expectimax,minimax-alpha-beta-pruning,4,0
P2,1,21.62037849,36,10,1,expectimax,minimax-alpha-beta-pruning,6,0
P2,1,7.534663439,18,8,8,expectimax,minimax-alpha-beta-pruning,2,0
P2,1,7.632283211,18,8,8,expectimax,minimax-alpha-beta-pruning,2,0
P1,-1,8.881175041,21,7,7,expectimax,minimax-alpha-beta-pruning,0,2
P2,1,8.098003864,18,7,8,expectimax,minimax-alpha-beta-pruning,4,0
P1,-1,8.022433996,19,8,7,expectimax,minimax-alpha-beta-pruning,0,2
P1,-1,9.226026058,19,8,9,expectimax,minimax-alpha-beta-pruning,0,4
P2,1,7.028632402,18,8,8,expectimax,minimax-alpha-beta-pruning,2,0
P2,1,8.961260557,18,8,8,expectimax,minimax-alpha-beta-pruning,2,0
P2,1,23.37934971,32,10,5,expectimax,minimax-alpha-beta-pruning,4,0
P2,1,8.687590599,18,8,8,expectimax,minimax-alpha-beta-pruning,2,0
P2,1,8.561443567,16,9,10,expectimax,minimax-alpha-beta-pruning,2,0
P2,1,41.95479655,26,9,6,expectimax,minimax-alpha-beta-pruning,2,0
P1,-1,16.78784013,27,6,6,expectimax,minimax-alpha-beta-pruning,0,2
P2,1,8.158264399,18,8,8,expectimax,minimax-alpha-beta-pruning,2,0
P2,1,8.458524227,18,8,8,expectimax,minimax-alpha-beta-pruning,2,0
P2,1,26.66073012,22,7,7,expectimax,minimax-alpha-beta-pruning,2,0
P1,-1,7.862008572,19,8,7,expectimax,minimax-alpha-beta-pruning,0,2
P2,1,28.8057704,40,9,0,expectimax,minimax-alpha-beta-pruning,12,0
P2,1,8.917852402,18,8,8,expectimax,minimax-alpha-beta-pruning,2,0
P2,1,10.04241014,22,6,8,expectimax,minimax-alpha-beta-pruning,2,0
P2,1,25.17950177,32,10,4,expectimax,minimax-alpha-beta-pruning,8,0
P2,1,24.01371312,32,10,4,expectimax,minimax-alpha-beta-pruning,8,0
P2,1,18.99199963,42,6,1,expectimax,minimax-alpha-beta-pruning,6,0
P1,-1,8.252465487,17,10,9,expectimax,minimax-alpha-beta-pruning,0,4
P2,1,18.02995038,28,10,5,expectimax,minimax-alpha-beta-pruning,4,0
P2,1,19.25210762,28,10,5,expectimax,minimax-alpha-beta-pruning,4,0
P1,-1,9.987788916,21,7,7,expectimax,minimax-alpha-beta-pruning,0,2
P2,1,20.5917058,30,10,4,expectimax,minimax-alpha-beta-pruning,4,0
P2,1,9.338231325,18,8,8,expectimax,minimax-alpha-beta-pruning,2,0
P1,-1,9.145732164,19,8,7,expectimax,minimax-alpha-beta-pruning,0,2
P2,1,23.21987581,40,8,1,expectimax,minimax-alpha-beta-pruning,10,0
P1,-1,10.39462209,19,8,9,expectimax,minimax-alpha-beta-pruning,0,4
P2,1,7.788853407,20,7,7,expectimax,minimax-alpha-beta-pruning,2,0
P2,1,8.575225353,18,8,8,expectimax,minimax-alpha-beta-pruning,2,0
P2,1,8.200148821,18,8,8,expectimax,minimax-alpha-beta-pruning,2,0
P2,1,23.11108088,40,8,0,expectimax,minimax-alpha-beta-pruning,4,0
P2,1,8.091498375,18,8,8,expectimax,minimax-alpha-beta-pruning,2,0
P2,1,18.65358329,28,10,5,expectimax,minimax-alpha-beta-pruning,4,0
P2,1,8.252102852,18,7,8,expectimax,minimax-alpha-beta-pruning,4,0
P1,-1,8.22980547,19,8,7,expectimax,minimax-alpha-beta-pruning,0,2
P2,1,18.81188917,28,10,5,expectimax,minimax-alpha-beta-pruning,4,0
P2,1,19.25353074,30,10,4,expectimax,minimax-alpha-beta-pruning,4,0
P2,1,10.62487173,18,8,9,expectimax,minimax-alpha-beta-pruning,2,0
P2,1,21.69905519,38,10,2,expectimax,minimax-alpha-beta-pruning,4,0
P1,-1,9.162341356,19,8,7,expectimax,minimax-alpha-beta-pruning,0,2
P2,1,20.63836408,30,10,5,expectimax,minimax-alpha-beta-pruning,4,0
P2,1,9.625113487,20,8,8,expectimax,minimax-alpha-beta-pruning,2,0
P2,1,8.884315968,18,8,8,expectimax,minimax-alpha-beta-pruning,2,0
P2,1,26.08555651,36,10,2,expectimax,minimax-alpha-beta-pruning,6,0
P2,1,22.05376863,34,10,3,expectimax,minimax-alpha-beta-pruning,6,0
P1,-1,9.240912437,21,7,8,expectimax,minimax-alpha-beta-pruning,0,2
P2,1,8.468066931,18,8,8,expectimax,minimax-alpha-beta-pruning,2,0
P2,1,20.63836408,30,8,2,expectimax,minimax-alpha-beta-pruning,2,0
P2,1,8.791940212,18,8,8,expectimax,minimax-alpha-beta-pruning,2,0
P1,-1,8.986261606,19,8,8,expectimax,minimax-alpha-beta-pruning,0,4
P1,-1,8.597502947,19,8,7,expectimax,minimax-alpha-beta-pruning,0,2
P2,1,24.61591315,36,10,2,expectimax,minimax-alpha-beta-pruning,8,0
P2,1,19.36645103,28,10,5,expectimax,minimax-alpha-beta-pruning,4,0
P1,-1,8.896217346,21,7,9,expectimax,minimax-alpha-beta-pruning,0,2
P1,-1,8.760968685,19,8,7,expectimax,minimax-alpha-beta-pruning,0,2
P1,-1,8.717924118,19,8,7,expectimax,minimax-alpha-beta-pruning,0,2
