winner,game_result,exec_time,num_turns
1.0,-1.0,14.80185175,17.0
1.0,-1.0,18.278198,17.0
1.0,-1.0,14.13417268,17.0
1.0,-1.0,14.05773258,15.0
1.0,-1.0,16.24168015,23.0
1.0,-1.0,14.41467166,19.0
1.0,-1.0,17.7010181,19.0
1.0,-1.0,13.56958652,19.0
1.0,-1.0,17.87913632,19.0
1.0,-1.0,17.54970717,17.0
1.0,-1.0,13.04255915,15.0
1.0,-1.0,15.50946832,19.0
1.0,-1.0,18.02762794,17.0
1.0,-1.0,19.20176864,21.0
1.0,-1.0,19.45969486,21.0
1.0,-1.0,17.39847231,15.0
1.0,-1.0,19.15300941,17.0
1.0,-1.0,14.75595951,15.0
1.0,-1.0,18.52182555,17.0
1.0,-1.0,17.92984581,19.0
1.0,-1.0,16.49947882,21.0
1.0,-1.0,13.76656723,17.0
1.0,-1.0,18.66195416,15.0
1.0,-1.0,16.64100432,17.0
1.0,-1.0,17.29633474,17.0
1.0,-1.0,15.53884935,17.0
1.0,-1.0,14.16457105,17.0
1.0,-1.0,18.8053565,17.0
1.0,-1.0,13.76601243,17.0
1.0,-1.0,18.24630189,21.0
1.0,-1.0,17.24103045,17.0
1.0,-1.0,20.20330715,15.0
1.0,-1.0,16.50164461,21.0
1.0,-1.0,21.3775568,19.0
1.0,-1.0,15.98933673,19.0
1.0,-1.0,16.70084047,15.0
1.0,-1.0,14.05746341,15.0
1.0,-1.0,18.49596143,17.0
1.0,-1.0,14.91506362,19.0
1.0,-1.0,14.22030401,19.0
1.0,-1.0,12.56287384,15.0
1.0,-1.0,15.6952529,17.0
1.0,-1.0,17.33644533,17.0
1.0,-1.0,18.44286537,15.0
1.0,-1.0,15.72495174,21.0
1.0,-1.0,17.9367137,21.0
1.0,-1.0,15.98104668,17.0
1.0,-1.0,15.04526114,21.0
1.0,-1.0,13.28698802,13.0
1.0,-1.0,12.96615338,15.0
